,value,timestamp
0,4.6384,1595323800
1,4.6798,1595327400
2,4.7219,1595331000
3,4.7803,1595334600
4,4.7221,1595338200
5,4.7599,1595341800
6,4.7302,1595345400
7,4.7479,1595349000
8,4.6272,1595352600
9,5.2137,1595356200
10,4.4915,1595359800
11,4.4967,1595363400
12,4.4963,1595367000
13,4.4646,1595370600
14,4.5103,1595374200
15,4.6099,1595377800
16,4.6723,1595381400
17,4.7986,1595385000
18,4.7273,1595388600
19,4.7528,1595392200
20,4.652,1595395800
21,4.7082,1595399400
22,4.7141,1595403000
23,4.7008,1595406600
24,4.7025,1595410200
25,4.6791,1595413800
26,4.7656,1595417400
27,4.7739,1595421000
28,4.8172,1595424600
29,4.7991,1595428200
30,4.7493,1595431800
31,4.713,1595435400
32,4.6607,1595439000
33,5.3202,1595442600
34,4.5847,1595446200
35,4.5097,1595449800
36,4.3471,1595453400
37,4.4964,1595457000
38,4.4439,1595460600
39,4.6006,1595464200
40,4.7071,1595467800
41,4.7219999999999995,1595471400
42,4.7049,1595475000
43,4.7759,1595478600
44,4.7952,1595482200
45,4.7823,1595485800
46,4.7092,1595489400
47,4.712,1595493000
48,4.7278,1595496600
49,4.7158,1595500200
50,4.7561,1595503800
51,4.7241,1595507400
52,4.7589,1595511000
53,4.75,1595514600
54,4.7386,1595518200
55,4.7776,1595521800
56,4.638,1595525400
57,5.327000000000001,1595529000
58,4.5576,1595532600
59,4.4846,1595536200
60,4.4917,1595539800
61,4.4142,1595543400
62,4.4844,1595547000
63,4.5959,1595550600
64,4.6728,1595554200
65,4.6824,1595557800
66,4.6969,1595561400
67,4.7885,1595565000
68,4.7947,1595568600
69,4.7757,1595572200
70,4.7596,1595575800
71,4.7631,1595579400
72,4.7735,1595583000
73,4.7696,1595586600
74,4.8041,1595590200
75,4.8073,1595593800
76,4.8342,1595597400
77,4.7216,1595601000
78,4.7422,1595604600
79,4.8041,1595608200
80,4.6855,1595611800
81,5.3108,1595615400
82,4.5669,1595619000
83,4.52,1595622600
84,4.4699,1595626200
85,4.4445,1595629800
86,4.4593,1595633400
87,4.62,1595637000
88,4.7046,1595640600
89,4.7075,1595644200
90,4.7588,1595647800
91,4.7958,1595651400
92,4.7956,1595655000
93,4.7855,1595658600
94,4.8413,1595662200
95,4.7975,1595665800
96,4.6848,1595669400
97,4.7219,1595673000
98,4.7771,1595676600
99,4.7796,1595680200
100,4.7252,1595683800
101,4.7132,1595687400
102,4.6922,1595691000
103,4.6599,1595694600
104,4.6761,1595698200
105,5.2048,1595701800
106,4.5302,1595705400
107,4.4765,1595709000
108,4.4227,1595712600
109,4.4519,1595716200
110,4.4132,1595719800
111,4.5212,1595723400
112,4.5586,1595727000
113,4.5316,1595730600
114,4.6992,1595734200
115,4.7347,1595737800
116,4.672,1595741400
117,4.7272,1595745000
118,4.7308,1595748600
119,4.7123,1595752200
120,4.7329,1595755800
121,4.849,1595759400
122,4.7693,1595763000
123,4.7531,1595766600
124,4.7275,1595770200
125,4.7192,1595773800
126,4.7808,1595777400
127,4.6903,1595781000
128,4.6526,1595784600
129,5.2727,1595788200
130,4.5571,1595791800
131,4.4831,1595795400
132,4.3894,1595799000
133,4.3993,1595802600
134,4.4736,1595806200
135,4.5879,1595809800
136,4.7808,1595813400
137,4.8668,1595817000
138,4.7029,1595820600
139,4.7183,1595824200
140,4.6457,1595827800
141,4.7925,1595831400
142,4.6930000000000005,1595835000
143,4.728,1595838600
144,4.7126,1595842200
145,4.7082,1595845800
146,4.7261,1595849400
147,4.834,1595853000
148,4.9094,1595856600
149,4.7924,1595860200
150,4.7065,1595863800
151,4.6658,1595867400
152,4.6837,1595871000
153,5.297000000000001,1595874600
154,4.5635,1595878200
155,4.4932,1595881800
156,4.4256,1595885400
157,4.4043,1595889000
158,4.5196,1595892600
159,4.5845,1595896200
160,4.7141,1595899800
161,4.8572,1595903400
162,4.7931,1595907000
163,4.7408,1595910600
164,4.7016,1595914200
165,4.8424,1595917800
166,4.7707,1595921400
167,4.7461,1595925000
168,4.7538,1595928600
169,4.7738,1595932200
170,4.735,1595935800
171,4.9272,1595939400
172,4.8398,1595943000
173,4.8103,1595946600
174,4.7878,1595950200
175,4.6963,1595953800
176,4.6451,1595957400
177,5.44,1595961000
178,4.5722,1595964600
179,4.541,1595968200
180,4.5222,1595971800
