,value,timestamp
0,46.0,1595323800
1,25.0,1595327400
2,40.0,1595331000
3,44.0,1595334600
4,39.0,1595338200
5,47.0,1595341800
6,39.0,1595345400
7,32.0,1595349000
8,50.0,1595352600
9,15.0,1595356200
10,11.0,1595359800
11,4.0,1595363400
12,8.0,1595367000
13,4.0,1595370600
14,2.0,1595374200
15,6.0,1595377800
16,20.0,1595381400
17,33.0,1595385000
18,44.0,1595388600
19,45.0,1595392200
20,49.0,1595395800
21,42.0,1595399400
22,52.0,1595403000
23,43.0,1595406600
24,51.0,1595410200
25,40.0,1595413800
26,42.0,1595417400
27,39.0,1595421000
28,55.0,1595424600
29,41.0,1595428200
30,33.0,1595431800
31,23.0,1595435400
32,22.0,1595439000
33,18.0,1595442600
34,13.0,1595446200
35,2.0,1595449800
36,7.0,1595453400
37,1.0,1595457000
38,4.0,1595460600
39,10.0,1595464200
40,15.0,1595467800
41,22.0,1595471400
42,34.0,1595475000
43,41.0,1595478600
44,44.0,1595482200
45,74.0,1595485800
46,93.0,1595489400
47,88.0,1595493000
48,79.0,1595496600
49,76.0,1595500200
50,56.0,1595503800
51,61.0,1595507400
52,28.0,1595511000
53,37.0,1595514600
54,36.0,1595518200
55,32.0,1595521800
56,26.0,1595525400
57,18.0,1595529000
58,10.0,1595532600
59,4.0,1595536200
60,7.0,1595539800
61,1.0,1595543400
62,2.0,1595547000
63,11.0,1595550600
64,20.0,1595554200
65,33.0,1595557800
66,47.0,1595561400
67,33.0,1595565000
68,44.0,1595568600
69,55.0,1595572200
70,48.0,1595575800
71,50.0,1595579400
72,148.0,1595583000
73,52.0,1595586600
74,36.0,1595590200
75,47.0,1595593800
76,47.0,1595597400
77,50.0,1595601000
78,66.0,1595604600
79,42.0,1595608200
80,30.0,1595611800
81,17.0,1595615400
82,7.0,1595619000
83,10.0,1595622600
84,11.0,1595626200
85,11.0,1595629800
86,9.0,1595633400
87,28.0,1595637000
88,67.0,1595640600
89,53.0,1595644200
90,62.0,1595647800
91,72.0,1595651400
92,84.0,1595655000
93,70.0,1595658600
94,80.0,1595662200
