,value,timestamp
0,1.85,1595323800
1,1.84,1595327400
2,1.99,1595331000
3,2.06,1595334600
4,1.95,1595338200
5,1.82,1595341800
6,1.73,1595345400
7,1.59,1595349000
8,1.43,1595352600
9,1.24,1595356200
10,1.18,1595359800
11,1.17,1595363400
12,1.15,1595367000
13,1.15,1595370600
14,1.17,1595374200
15,1.32,1595377800
16,1.85,1595381400
17,1.88,1595385000
18,1.83,1595388600
19,1.79,1595392200
20,1.94,1595395800
21,2.33,1595399400
22,2.01,1595403000
23,1.92,1595406600
24,1.92,1595410200
25,2.08,1595413800
26,2.12,1595417400
27,2.1,1595421000
28,1.99,1595424600
29,1.93,1595428200
30,1.71,1595431800
31,1.69,1595435400
32,1.52,1595439000
33,1.31,1595442600
34,1.19,1595446200
35,1.15,1595449800
36,1.13,1595453400
37,1.13,1595457000
38,1.15,1595460600
39,1.2,1595464200
40,1.44,1595467800
41,1.56,1595471400
42,1.62,1595475000
43,1.71,1595478600
44,1.75,1595482200
45,1.92,1595485800
46,1.87,1595489400
47,1.82,1595493000
48,1.88,1595496600
49,1.87,1595500200
50,1.9,1595503800
51,1.92,1595507400
52,1.75,1595511000
53,1.89,1595514600
54,1.6,1595518200
55,1.49,1595521800
56,1.38,1595525400
57,1.35,1595529000
58,1.15,1595532600
59,1.15,1595536200
60,1.12,1595539800
61,1.13,1595543400
62,1.15,1595547000
63,1.18,1595550600
64,1.37,1595554200
65,1.48,1595557800
66,1.61,1595561400
67,1.76,1595565000
68,1.9,1595568600
69,1.99,1595572200
70,1.95,1595575800
71,1.96,1595579400
72,1.97,1595583000
73,1.96,1595586600
74,1.99,1595590200
75,1.88,1595593800
76,1.79,1595597400
77,1.74,1595601000
78,1.73,1595604600
79,1.7,1595608200
80,1.47,1595611800
81,1.42,1595615400
82,1.19,1595619000
83,1.16,1595622600
84,1.13,1595626200
85,1.12,1595629800
86,1.13,1595633400
87,1.25,1595637000
88,1.47,1595640600
89,1.66,1595644200
90,1.79,1595647800
91,1.85,1595651400
92,1.96,1595655000
93,2.01,1595658600
94,1.99,1595662200
95,1.91,1595665800
96,1.91,1595669400
97,1.92,1595673000
98,1.9,1595676600
99,1.89,1595680200
100,1.72,1595683800
101,1.77,1595687400
102,1.65,1595691000
103,1.59,1595694600
104,1.49,1595698200
105,1.43,1595701800
106,1.22,1595705400
107,1.16,1595709000
108,1.13,1595712600
109,1.12,1595716200
110,1.16,1595719800
111,1.17,1595723400
112,1.28,1595727000
113,1.44,1595730600
114,1.6,1595734200
115,1.72,1595737800
116,1.77,1595741400
117,1.91,1595745000
118,1.9,1595748600
119,1.9,1595752200
120,1.86,1595755800
121,1.84,1595759400
122,1.79,1595763000
123,1.81,1595766600
124,1.8,1595770200
125,1.71,1595773800
126,1.63,1595777400
127,1.62,1595781000
128,1.44,1595784600
129,1.28,1595788200
130,1.21,1595791800
131,1.19,1595795400
132,1.15,1595799000
133,1.18,1595802600
134,1.19,1595806200
135,1.44,1595809800
136,2.01,1595813400
137,2.12,1595817000
138,1.83,1595820600
139,1.85,1595824200
140,1.89,1595827800
141,2.45,1595831400
142,2.15,1595835000
143,1.88,1595838600
144,1.95,1595842200
145,1.95,1595845800
146,2.06,1595849400
147,2.04,1595853000
148,1.96,1595856600
149,1.79,1595860200
150,1.74,1595863800
151,1.61,1595867400
152,1.34,1595871000
153,1.24,1595874600
154,1.2,1595878200
155,1.2,1595881800
156,1.17,1595885400
157,1.15,1595889000
158,1.19,1595892600
159,1.34,1595896200
160,1.89,1595899800
161,2.04,1595903400
162,1.89,1595907000
163,1.82,1595910600
164,2.04,1595914200
165,2.46,1595917800
166,2.19,1595921400
167,1.88,1595925000
168,2.25,1595928600
169,2.05,1595932200
170,2.01,1595935800
171,2.12,1595939400
172,1.96,1595943000
173,1.83,1595946600
174,1.68,1595950200
175,1.6,1595953800
176,1.52,1595957400
177,1.32,1595961000
178,1.38,1595964600
179,1.28,1595968200
180,1.2,1595971800
181,1.16,1595975400
182,1.19,1595979000
183,1.38,1595982600
184,1.84,1595986200
185,2.08,1595989800
186,1.9,1595993400
187,1.87,1595997000
188,1.95,1596000600
189,2.56,1596004200
190,2.16,1596007800
191,2.0,1596011400
192,1.98,1596015000
193,2.18,1596018600
194,2.09,1596022200
195,2.29,1596025800
196,2.03,1596029400
197,1.94,1596033000
198,1.86,1596036600
199,1.74,1596040200
200,1.21,1596054600
201,0.89,1596058200
202,1.23,1596069000
203,1.89,1596072600
204,2.05,1596076200
205,2.47,1596079800
206,2.09,1596083400
207,1.96,1596087000
208,2.46,1596090600
209,2.12,1596094200
210,1.96,1596097800
211,2.09,1596101400
212,2.1,1596105000
213,2.4,1596108600
214,2.23,1596112200
215,2.03,1596115800
216,1.92,1596119400
217,1.92,1596123000
218,1.74,1596126600
219,1.62,1596130200
220,1.47,1596133800
221,1.24,1596137400
222,1.22,1596141000
223,1.22,1596144600
224,1.18,1596148200
225,1.22,1596151800
226,1.46,1596155400
227,1.94,1596159000
228,2.09,1596162600
229,1.91,1596166200
230,1.97,1596169800
231,2.07,1596173400
232,2.46,1596177000
233,2.24,1596180600
234,1.93,1596184200
235,1.96,1596187800
236,1.94,1596191400
237,2.16,1596195000
